apk_id,package,label,score,size_mb,first_installed,last_monitored,proxy_count,huawei_count,installed_on_device,apk_path,domain,download_url,status,download_time,detect_time,install_time,node_time
818slots.com,com.qdabee.dpdis,818solts,100,21,2026-08-04 19:45,2026-08-04 19:45,2,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/818slots.com.apk,818slots.com,,ok,0.0,0.0,9.0,76.1
81du003.ye41r.top,ehc.tdinwuxjjoxfy.ldnimdmaapeucjpdbwr,prcPPs,100,63,2026-08-04 19:46,2026-08-04 19:46,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du003.ye41r.top.apk,81du003.ye41r.top,,ok,0.0,0.0,12.7,5.5
81du008.19lf9.top,ehc.tdinwuxjjoxfy.ldnimdmaapeucjpdbwr,prcPPs,100,63,2026-08-04 19:47,2026-08-04 19:47,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du008.19lf9.top.apk,81du008.19lf9.top,,ok,0.0,0.0,10.1,5.5
81du028.mmh3s.top,ehc.tdinwuxjjoxfy.ldnimdmaapeucjpdbwr,prcPPs,100,63,2026-08-04 19:47,2026-08-04 19:47,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du028.mmh3s.top.apk,81du028.mmh3s.top,,ok,0.0,0.0,10.6,5.5
81du033.8lvsf.top,eao.vomboewaqvjxy.aoeotonugdncqeklphq,uUjScI,100,63,2026-08-04 19:48,2026-08-04 19:48,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du033.8lvsf.top.apk,81du033.8lvsf.top,,ok,0.0,0.0,9.4,5.4
81du034.tktgy.top,eao.vomboewaqvjxy.aoeotonugdncqeklphq,uUjScI,100,63,2026-08-04 19:49,2026-08-04 19:49,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du034.tktgy.top.apk,81du034.tktgy.top,,ok,0.0,0.0,10.1,5.5
81du035.69kgx.top,ehc.tdinwuxjjoxfy.ldnimdmaapeucjpdbwr,prcPPs,100,63,2026-08-04 19:49,2026-08-04 19:49,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du035.69kgx.top.apk,81du035.69kgx.top,,ok,0.0,0.0,7.9,10.6
81du035.udqzt.top,eao.vomboewaqvjxy.aoeotonugdncqeklphq,uUjScI,100,63,2026-08-04 19:50,2026-08-04 19:50,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du035.udqzt.top.apk,81du035.udqzt.top,,ok,0.0,0.0,9.3,5.4
81du042.kuwf2.top,ehc.tdinwuxjjoxfy.ldnimdmaapeucjpdbwr,prcPPs,100,63,2026-08-04 19:50,2026-08-04 19:50,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du042.kuwf2.top.apk,81du042.kuwf2.top,,ok,0.0,0.0,9.2,5.5
81du043.j4m9o.top,ehc.tdinwuxjjoxfy.ldnimdmaapeucjpdbwr,prcPPs,100,63,2026-08-04 19:51,2026-08-04 19:51,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du043.j4m9o.top.apk,81du043.j4m9o.top,,ok,0.0,0.0,12.7,5.4
81du051.kdaxj.top,ehc.tdinwuxjjoxfy.ldnimdmaapeucjpdbwr,prcPPs,100,63,2026-08-04 19:52,2026-08-04 19:52,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du051.kdaxj.top.apk,81du051.kdaxj.top,,ok,0.0,0.0,13.6,5.5
81du057.fwff7.top,eao.vomboewaqvjxy.aoeotonugdncqeklphq,uUjScI,100,63,2026-08-04 19:52,2026-08-04 19:52,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du057.fwff7.top.apk,81du057.fwff7.top,,ok,0.0,0.0,13.1,5.5
81du058.izjdg.top,ehc.tdinwuxjjoxfy.ldnimdmaapeucjpdbwr,prcPPs,100,63,2026-08-04 19:53,2026-08-04 19:53,13,0,false,/mnt/e/Work/App-analyze/Apks/Duoyun-apks/20260804/81du058.izjdg.top.apk,81du058.izjdg.top,,ok,0.0,0.0,13.7,5.5
